iter,infectious_period_0,infectious_period_15,proportionHighRisk_0,proportionHighRisk_2,proportionHighRisk_5,proportionHighRisk_19,proportionHighRisk_25,proportionHighRisk_50,proportionHighRisk_65,susceptibility_H1_0,susceptibility_H1_5,susceptibility_H1_25,susceptibility_H1_60,susceptibility_H3_0,susceptibility_H3_5,susceptibility_H3_25,susceptibility_H3_60,susceptibility_B_0,susceptibility_B_5,susceptibility_B_25,susceptibility_B_60,relative_vaccineEfficacyVsInfection_H1_0,relative_vaccineEfficacyVsInfection_H1_0.5,relative_vaccineEfficacyVsInfection_H1_5,relative_vaccineEfficacyVsInfection_H1_18,relative_vaccineEfficacyVsInfection_H1_50,relative_vaccineEfficacyVsInfection_H3_0,relative_vaccineEfficacyVsInfection_H3_0.5,relative_vaccineEfficacyVsInfection_H3_5,relative_vaccineEfficacyVsInfection_H3_18,relative_vaccineEfficacyVsInfection_H3_50,relative_vaccineEfficacyVsInfection_B_0,relative_vaccineEfficacyVsInfection_B_0.5,relative_vaccineEfficacyVsInfection_B_5,relative_vaccineEfficacyVsInfection_B_18,relative_vaccineEfficacyVsInfection_B_50,relative_vaccineEfficacyVsHospitalization_H1_0,relative_vaccineEfficacyVsHospitalization_H1_0.5,relative_vaccineEfficacyVsHospitalization_H1_16,relative_vaccineEfficacyVsHospitalization_H1_65,relative_vaccineEfficacyVsHospitalization_H3_0,relative_vaccineEfficacyVsHospitalization_H3_0.5,relative_vaccineEfficacyVsHospitalization_H3_16,relative_vaccineEfficacyVsHospitalization_H3_65,relative_vaccineEfficacyVsHospitalization_B_0,relative_vaccineEfficacyVsHospitalization_B_0.5,relative_vaccineEfficacyVsHospitalization_B_16,relative_vaccineEfficacyVsHospitalization_B_65,relative_vaccineEfficacyVsDeath_H1_0,relative_vaccineEfficacyVsDeath_H1_0.5,relative_vaccineEfficacyVsDeath_H1_18,relative_vaccineEfficacyVsDeath_H1_65,relative_vaccineEfficacyVsDeath_H3_0,relative_vaccineEfficacyVsDeath_H3_0.5,relative_vaccineEfficacyVsDeath_H3_18,relative_vaccineEfficacyVsDeath_H3_65,relative_vaccineEfficacyVsDeath_B_0,relative_vaccineEfficacyVsDeath_B_0.5,relative_vaccineEfficacyVsDeath_B_18,relative_vaccineEfficacyVsDeath_B_65,relative_highRiskvaccineEfficacyVsDeath_H1_0,relative_highRiskvaccineEfficacyVsDeath_H1_0.5,relative_highRiskvaccineEfficacyVsDeath_H1_18,relative_highRiskvaccineEfficacyVsDeath_H1_65,relative_highRiskvaccineEfficacyVsDeath_H3_0,relative_highRiskvaccineEfficacyVsDeath_H3_0.5,relative_highRiskvaccineEfficacyVsDeath_H3_18,relative_highRiskvaccineEfficacyVsDeath_H3_65,relative_highRiskvaccineEfficacyVsDeath_B_0,relative_highRiskvaccineEfficacyVsDeath_B_0.5,relative_highRiskvaccineEfficacyVsDeath_B_18,relative_highRiskvaccineEfficacyVsDeath_B_65,prob_death_0,prob_death_5,prob_death_18,prob_death_50,prob_death_65,ratio_death_strain_H1_0,ratio_death_strain_H1_5,ratio_death_strain_H1_18,ratio_death_strain_H1_50,ratio_death_strain_H1_65,ratio_death_strain_H1_75,ratio_death_strain_H3_0,ratio_death_strain_H3_5,ratio_death_strain_H3_18,ratio_death_strain_H3_50,ratio_death_strain_H3_65,ratio_death_strain_H3_75,ratio_death_highrisk_0,ratio_death_highrisk_5,ratio_death_highrisk_18,ratio_death_highrisk_50,ratio_death_highrisk_65,ratio_death_highrisk_75,prob_hosp_0,prob_hosp_5,prob_hosp_18,prob_hosp_50,prob_hosp_65,ratio_hosp_highrisk_0,ratio_hosp_highrisk_5,ratio_hosp_highrisk_18,ratio_hosp_highrisk_50,ratio_hosp_highrisk_65,ratio_hosp_highrisk_75,lowRiskhospitalizationRate_H1_0,lowRiskhospitalizationRate_H1_5,lowRiskhospitalizationRate_H1_18,lowRiskhospitalizationRate_H1_50,lowRiskhospitalizationRate_H1_65,lowRiskhospitalizationRate_H1_75,lowRiskhospitalizationRate_H3_0,lowRiskhospitalizationRate_H3_5,lowRiskhospitalizationRate_H3_18,lowRiskhospitalizationRate_H3_50,lowRiskhospitalizationRate_H3_65,lowRiskhospitalizationRate_H3_75,lowRiskhospitalizationRate_B_0,lowRiskhospitalizationRate_B_5,lowRiskhospitalizationRate_B_18,lowRiskhospitalizationRate_B_50,lowRiskhospitalizationRate_B_65,lowRiskhospitalizationRate_B_75,highRiskhospitalizationRate_H1_0,highRiskhospitalizationRate_H1_5,highRiskhospitalizationRate_H1_18,highRiskhospitalizationRate_H1_50,highRiskhospitalizationRate_H1_65,highRiskhospitalizationRate_H1_75,highRiskhospitalizationRate_H3_0,highRiskhospitalizationRate_H3_5,highRiskhospitalizationRate_H3_18,highRiskhospitalizationRate_H3_50,highRiskhospitalizationRate_H3_65,highRiskhospitalizationRate_H3_75,highRiskhospitalizationRate_B_0,highRiskhospitalizationRate_B_5,highRiskhospitalizationRate_B_18,highRiskhospitalizationRate_B_50,highRiskhospitalizationRate_B_65,highRiskhospitalizationRate_B_75,beta_H1,beta_H3,beta_B,vac_eff_hospitalization,vac_eff_mortality
0,3.022829426,3.919931118,0.037867896,0.086680575,0.118363015,0.120807673,0.155251277,0.297848843,0.470232399,0.98337477,0.58722694,0.74014893,0.17972827,0.76439442,0.5204718,0.47804162,0.30150537,0.8395575,0.68187779,0.38641591,0.18820949,0,0.693155243,0.524978097,0.578630133,0.354360387,0,0.541170885,0.371311744,0.228021455,0.155606151,0,0.558935228,0.521904383,0.3606625,0.169257803,0,1,0.658792257,0.789839944,0,1,1.588069173,0.438684884,0,1,0.607591056,0.408203501,0,1,1.820274373,0.274830546,0,1,1.365460779,0.418967177,0,1,1.120849533,0.338765617,0,1,1.317668047,0.488860095,0,1,1.451409761,0.57425885,0,1,2.953681353,0.797366013,3.86E-05,1.00E-05,0.00010899,0.001083752,0.007059759,0.444,0.5882,0.1245,0.0277,0.0016,0,1.333,0.8823,1.5897,2.7944,3.1693,1.4822,0.38,1.09,1.45,3.72,5.84,2.75,0.017375264,0.000506347,0.004178778,0.015723145,0.042359743,0.161384441,0.563806663,4.15776665,6.136989794,2.671754591,5.600237032,11.59190115,4.429787247,0.884127486,0.819988028,1.795097872,2.894137386,31.84340939,6.400867975,16.4778346,5.970694484,30.04618307,100.0043944,34.29641054,1.822646447,7.204123362,2.540296163,11.63199762,39.15888899,0,4.88665253,13.75186555,8.914422576,14.18127319,16.3590447,12.09493409,4.345777926,44.52049616,133.508504,253.8016291,644.1785263,12.21650125,4.040022466,54.58652352,79.25120856,35.22182184,210.9255813,0.00181538,0.00232301,0.00206685,0.65231788,0.14616277
1,4.201937309,3.826261655,0.046119076,0.08867362,0.115498621,0.128286554,0.152991897,0.306129156,0.484386517,0.98337477,0.58722694,0.74014893,0.17972827,0.76439442,0.5204718,0.47804162,0.30150537,0.8395575,0.68187779,0.38641591,0.18820949,0,0.678215625,0.537478261,0.604053841,0.35873619,0,0.604049276,0.267773331,0.237930314,0.414049583,0,0.588342647,0.450993229,0.349781167,0.294649892,0,1,0.718452009,0.698817465,0,1,0.686455023,0.730712546,0,1,0.720275478,0.571775373,0,1,1.879371616,0.450084648,0,1,0.966778478,0.564825072,0,1,1.017096966,0.254473958,0,1,1.907265916,0.557462805,0,1,1.537211099,0.449381417,0,1,2.060746524,1.018200096,3.32E-05,1.00E-05,5.09E-05,0.001989738,0.012352584,0.444,0.5882,0.1245,0.0277,0.0016,0,1.333,0.8823,1.5897,2.7944,3.1693,1.4822,0.38,1.09,1.45,3.72,5.84,2.75,0.012398806,0.000682398,0.002902144,0.019664057,0.029636265,0.41562619,0.629413872,3.094208114,8.151106022,9.075703901,2.422032827,3.217634295,2.87252234,0.863418746,0.97141871,3.345169239,5.393232038,56.12613611,5.313924024,3.988801943,27.53538101,32.33364517,155.9313719,48.34922142,6.878970975,1.53711807,2.509093442,1.385827208,17.48669497,0,2.981085151,6.875334446,9.116224027,26.42683699,50.82621416,17.88214704,7.827215067,48.55900092,157.438213,25.83980382,734.9516286,0.885705715,1.700854346,31.55994642,21.95162842,31.8256753,272.120356,0.00181538,0.00232301,0.00206685,0.65231788,0.14616277
2,4.814900095,3.642032503,0.042621285,0.087934415,0.119876677,0.123180958,0.161011463,0.304904909,0.466089297,0.98337477,0.58722694,0.74014893,0.17972827,0.76439442,0.5204718,0.47804162,0.30150537,0.8395575,0.68187779,0.38641591,0.18820949,0,0.682570176,0.415430408,0.606542729,0.440574181,0,0.528486576,0.362976193,0.342951049,0.386885198,0,0.550234935,0.444541734,0.278936593,0.379981864,0,1,1.286273571,0.570248889,0,1,0.505784784,0.810275514,0,1,0.621457159,0.223228934,0,1,1.203193922,0.432201666,0,1,1.482384485,0.480603453,0,1,1.231131261,0.288458102,0,1,1.473768011,0.518610829,0,1,1.56314976,0.485694965,0,1,2.54824162,1.11291238,3.72E-05,1.00E-05,7.36E-05,0.001138192,0.020269663,0.444,0.5882,0.1245,0.0277,0.0016,0,1.333,0.8823,1.5897,2.7944,3.1693,1.4822,0.38,1.09,1.45,3.72,5.84,2.75,0.017056331,0.000399035,0.003757846,0.012366178,0.036112735,0.215439439,0.508190696,5.325434377,8.268256172,24.99606508,4.951162964,1.712250574,2.742547131,1.715840349,0.744264262,0.274268913,0.442188656,43.24245045,9.45099208,5.716321519,10.87986552,45.03224465,217.0018334,30.64820639,0.716530389,3.815567174,2.463812101,13.30705714,11.43384533,0,4.540088359,20.41983548,18.18595117,2.166724415,67.51549367,11.553391,3.823555064,39.39518238,215.4464256,317.8852028,515.6307193,7.566975328,1.572881783,34.73161081,56.91545639,28.42114997,185.4248811,0.00181538,0.00232301,0.00206685,0.65231788,0.14616277
3,2.661668794,4.320396769,0.042881442,0.095194754,0.113260077,0.1278976,0.156662504,0.308567895,0.464051208,0.98337477,0.58722694,0.74014893,0.17972827,0.76439442,0.5204718,0.47804162,0.30150537,0.8395575,0.68187779,0.38641591,0.18820949,0,0.710441666,0.473036043,0.489525518,0.44410052,0,0.594515487,0.267299806,0.199013902,0.192037043,0,0.483464477,0.500704182,0.268259756,0.473732942,0,1,0.875896642,0.744881737,0,1,0.578342092,0.403154843,0,1,0.537554631,0.410996742,0,1,1.008683023,0.569953814,0,1,1.707556959,0.360917314,0,1,0.945342577,0.410055202,0,1,1.483089508,0.416557865,0,1,1.435717206,0.762268634,0,1,1.902801251,0.73979079,2.38E-05,1.00E-05,4.02E-05,0.002124477,0.007837348,0.444,0.5882,0.1245,0.0277,0.0016,0,1.333,0.8823,1.5897,2.7944,3.1693,1.4822,0.38,1.09,1.45,3.72,5.84,2.75,0.015664985,0.000638077,0.004304753,0.019351387,0.033496598,0.312276609,0.44965142,9.478444943,37.23161057,8.324806765,5.609504719,18.34208954,6.526071794,1.871952653,0.745003937,2.858899189,4.609245631,69.27940298,6.459116777,5.464620098,19.85077161,23.10291411,147.9487841,71.13771946,8.936009009,0.94986806,8.826606738,8.542562735,57.72136719,0,0.896369587,8.850596479,2.928489351,22.58530359,38.66449995,8.851517979,2.884125943,44.56866762,187.2829682,375.9256179,107.8082351,6.982279081,1.456402435,45.86359676,86.17870346,52.27888477,100.2664605,0.00181538,0.00232301,0.00206685,0.65231788,0.14616277
4,2.828933126,4.153557644,0.041145396,0.092774671,0.118895116,0.12808062,0.158337152,0.311634515,0.470820107,0.98337477,0.58722694,0.74014893,0.17972827,0.76439442,0.5204718,0.47804162,0.30150537,0.8395575,0.68187779,0.38641591,0.18820949,0,0.643944336,0.586405358,0.423050094,0.303460659,0,0.620910693,0.285163983,0.213886443,0.320776677,0,0.41099335,0.544317207,0.378083172,0.248836544,0,1,0.78602976,0.790334745,0,1,1.457755307,0.405849296,0,1,0.780842936,0.461061624,0,1,1.233350773,0.255418376,0,1,2.083497425,0.543794891,0,1,1.280803125,0.243437508,0,1,1.384211832,0.51670339,0,1,1.685201417,0.488384352,0,1,1.855366796,0.708030278,4.92E-05,1.00E-05,8.58E-05,0.001599452,0.018086271,0.444,0.5882,0.1245,0.0277,0.0016,0,1.333,0.8823,1.5897,2.7944,3.1693,1.4822,0.38,1.09,1.45,3.72,5.84,2.75,0.015564133,0.000706632,0.004680821,0.018535601,0.031880934,0.149960454,0.530825131,5.246119887,13.67194645,4.617401948,4.536556197,11.84352007,3.237347062,0.863150707,0.961454784,4.43833867,7.155688876,68.60857973,9.144505194,4.390439531,16.42514886,35.46982783,223.0633169,26.92611831,12.76859036,6.091519418,4.555180743,10.19360323,38.37924775,0,1.900670818,21.4683392,22.15747288,35.06287549,22.68987352,16.46150314,4.968150109,51.19672948,253.2962323,286.0838756,637.3344085,11.40486269,5.474575099,50.8335274,42.63950094,42.14275701,134.7998903,0.00181538,0.00232301,0.00206685,0.65231788,0.14616277
5,3.147335883,4.481096287,0.043773095,0.085296407,0.119519159,0.112145412,0.161567734,0.311256022,0.467574361,0.98337477,0.58722694,0.74014893,0.17972827,0.76439442,0.5204718,0.47804162,0.30150537,0.8395575,0.68187779,0.38641591,0.18820949,0,0.729097051,0.605233089,0.586729107,0.421740125,0,0.626835238,0.212767102,0.323019896,0.374002251,0,0.436995195,0.453967374,0.208413142,0.479544181,0,1,0.767668198,1.06504032,0,1,0.574019139,0.678644913,0,1,0.533452549,0.354676547,0,1,1.300729319,0.373882768,0,1,1.762986488,0.426244031,0,1,1.488421123,0.273528081,0,1,1.294434142,0.592566625,0,1,1.41057179,0.538494081,0,1,2.257702653,0.532736295,4.27E-05,1.00E-05,9.09E-05,0.001183397,0.014729866,0.444,0.5882,0.1245,0.0277,0.0016,0,1.333,0.8823,1.5897,2.7944,3.1693,1.4822,0.38,1.09,1.45,3.72,5.84,2.75,0.010271185,0.000645745,0.003895962,0.014343892,0.029998718,0.221181399,0.612249337,6.490001959,11.34948517,3.515458509,4.094306459,12.51057179,0.86751059,1.982170798,0.403467015,6.700268214,10.80247324,77.96745909,6.091909295,9.242859568,22.60011086,29.9182895,191.2678764,27.32800816,3.089024338,7.332858078,7.459302192,8.714110298,38.10381892,0,5.738665614,14.89308851,25.05142445,52.93211889,51.34448281,9.180175462,7.381511966,82.00259009,111.7325392,160.3570124,689.094819,10.18288715,3.172420204,42.99368444,81.28642914,70.78236623,141.6616803,0.00181538,0.00232301,0.00206685,0.65231788,0.14616277
6,4.213119612,3.692170649,0.037187002,0.085648359,0.116924052,0.128739011,0.161345185,0.302687004,0.467260418,0.98337477,0.58722694,0.74014893,0.17972827,0.76439442,0.5204718,0.47804162,0.30150537,0.8395575,0.68187779,0.38641591,0.18820949,0,0.617699928,0.611756537,0.564975634,0.405528704,0,0.532391136,0.307963794,0.343568241,0.437790529,0,0.606193321,0.528583697,0.336774483,0.241630033,0,1,0.628598478,0.651634416,0,1,1.755620952,0.331485772,0,1,1.155295984,0.862129442,0,1,1.552616775,0.302205669,0,1,1.150955239,0.276833034,0,1,1.367183823,0.356975957,0,1,1.36128633,0.463505929,0,1,1.760161276,0.614600961,0,1,2.289879735,0.765414949,1.35E-05,1.00E-05,6.87E-05,0.001324592,0.015569243,0.444,0.5882,0.1245,0.0277,0.0016,0,1.333,0.8823,1.5897,2.7944,3.1693,1.4822,0.38,1.09,1.45,3.72,5.84,2.75,0.010738789,0.000359042,0.004197612,0.014315124,0.03752893,0.463637246,0.540315667,5.289081626,12.67745106,5.624353659,3.770477377,7.177775421,3.327255264,1.555533134,0.623387879,1.964055105,3.166537823,18.6618351,12.69907874,6.617272885,12.93900368,46.10662674,184.6038755,73.09778519,10.94780284,8.041479838,8.492158471,14.09993542,53.65434126,0,2.377259618,7.155680661,8.548722323,15.51603533,21.94209478,10.2979175,4.05975662,46.0046441,171.8364857,294.4197954,859.9000859,7.495644429,3.193226176,34.2661694,46.17973578,32.00469377,84.90006517,0.00181538,0.00232301,0.00206685,0.65231788,0.14616277
7,2.976392094,3.786051101,0.037841097,0.086043366,0.119775942,0.137122628,0.158550077,0.30374018,0.463045767,0.98337477,0.58722694,0.74014893,0.17972827,0.76439442,0.5204718,0.47804162,0.30150537,0.8395575,0.68187779,0.38641591,0.18820949,0,0.795217193,0.58407656,0.546728296,0.439465923,0,0.685015919,0.370778598,0.242255329,0.362087357,0,0.393525787,0.470666341,0.343255354,0.165963186,0,1,0.600345267,0.662909338,0,1,1.191560726,0.545640869,0,1,0.670483131,0.715557615,0,1,1.293915326,0.444415372,0,1,1.37334941,0.373879149,0,1,1.352573634,0.340451043,0,1,0.935921432,0.564826398,0,1,1.129010852,0.529276731,0,1,2.011767432,0.965997383,5.94E-05,1.00E-05,6.84E-05,0.001090538,0.021199431,0.444,0.5882,0.1245,0.0277,0.0016,0,1.333,0.8823,1.5897,2.7944,3.1693,1.4822,0.38,1.09,1.45,3.72,5.84,2.75,0.0138573,0.000474737,0.003872264,0.012646777,0.037721726,0.198000835,0.386148336,5.385142878,6.206026707,4.619255699,3.12077093,14.45927626,1.538362882,0.698193353,0.874137118,6.365454255,10.26267115,81.76383193,4.354990953,10.88388181,19.76521158,51.62716878,98.74867548,22.61498771,1.475923822,7.096342005,9.274169312,11.21915404,20.14563474,0,5.69811327,6.239897798,30.81390389,50.28708861,35.78447458,8.773677803,2.525362661,13.70574842,131.6844327,317.3629299,447.3259253,12.83198571,4.242575084,51.30223835,79.83195328,56.15825336,145.1583493,0.00181538,0.00232301,0.00206685,0.65231788,0.14616277
8,2.70121616,4.003386761,0.041549187,0.095009359,0.11431871,0.130247733,0.161502123,0.310004773,0.467834216,0.98337477,0.58722694,0.74014893,0.17972827,0.76439442,0.5204718,0.47804162,0.30150537,0.8395575,0.68187779,0.38641591,0.18820949,0,0.707423683,0.604864789,0.654980754,0.514026034,0,0.575087172,0.356527282,0.167151839,0.394588464,0,0.530298907,0.456289209,0.376013849,0.192545004,0,1,1.098791773,1.011804552,0,1,0.58540417,0.3799173,0,1,1.019801896,0.486600616,0,1,1.128375092,0.283430175,0,1,1.753537782,0.288301934,0,1,1.298980999,0.301108288,0,1,1.166800306,0.367554837,0,1,1.39675742,0.404890126,0,1,2.247147029,0.740390183,5.06E-05,1.00E-05,0.000114253,0.001831859,0.009475117,0.444,0.5882,0.1245,0.0277,0.0016,0,1.333,0.8823,1.5897,2.7944,3.1693,1.4822,0.38,1.09,1.45,3.72,5.84,2.75,0.019462782,0.000451845,0.004377131,0.018304744,0.043584571,0.214119121,0.402754624,9.409500279,9.714212061,2.932141534,3.521574898,7.567747899,7.053767563,1.764236591,0.189967594,4.514568632,7.278590244,78.30188087,9.98209854,0.563429744,28.74198069,36.06812212,161.4390369,32.25167239,5.110002036,2.922551521,6.58227525,6.705151444,52.49683562,0,3.27753471,15.08188046,9.310284057,35.6650922,47.15839214,9.773798578,7.039351582,62.46932419,134.3734726,485.9604328,826.8053798,15.20562248,1.855236298,41.26734541,81.70982084,56.05619412,165.1644472,0.00181538,0.00232301,0.00206685,0.65231788,0.14616277
9,3.899133184,4.608438437,0.045132591,0.084636724,0.116572095,0.127391527,0.156702291,0.304587031,0.474607756,0.98337477,0.58722694,0.74014893,0.17972827,0.76439442,0.5204718,0.47804162,0.30150537,0.8395575,0.68187779,0.38641591,0.18820949,0,0.707312263,0.596835181,0.582675832,0.495044528,0,0.517199414,0.355483681,0.188787669,0.328617653,0,0.466323193,0.498785894,0.343327669,0.288674158,0,1,0.924572791,0.97905944,0,1,0.682415791,0.419637946,0,1,0.53101991,0.590560002,0,1,1.495123585,0.576538881,0,1,1.242898206,0.291216764,0,1,0.975782437,0.343161489,0,1,0.796666542,0.611022666,0,1,0.834964051,0.533159871,0,1,1.792656627,0.668254286,3.53E-05,1.00E-05,0.000102864,0.001543502,0.013601646,0.444,0.5882,0.1245,0.0277,0.0016,0,1.333,0.8823,1.5897,2.7944,3.1693,1.4822,0.38,1.09,1.45,3.72,5.84,2.75,0.010680567,0.000665955,0.003468728,0.014475153,0.042750316,0.236308087,0.439580866,5.266653802,13.05459604,11.70732201,4.908360008,9.984770251,1.565860514,0.58329663,0.994866064,4.020138081,6.481447111,27.90036086,14.48056352,11.00247693,23.47026635,59.22975674,24.51132207,16.35933396,7.472972854,4.210995154,8.586755111,7.352436117,66.54809706,0,2.127253674,10.48497003,6.002101,31.75909084,50.85858272,7.199786891,4.762130413,52.21548639,188.0357448,303.1710723,796.4321876,10.09492527,0.423251402,36.82352325,48.30846913,14.64877557,254.2374653,0.00181538,0.00232301,0.00206685,0.65231788,0.14616277
