iter,infectious_period_0,infectious_period_15,proportionHighRisk_0,proportionHighRisk_2,proportionHighRisk_5,proportionHighRisk_19,proportionHighRisk_25,proportionHighRisk_50,proportionHighRisk_65,susceptibility_H1_0,susceptibility_H1_4,susceptibility_H1_18,susceptibility_H1_65,susceptibility_H3_0,susceptibility_H3_4,susceptibility_H3_18,susceptibility_H3_65,susceptibility_B_0,susceptibility_B_4,susceptibility_B_18,susceptibility_B_65,relative_vaccineEfficacyVsInfection_H1_0,relative_vaccineEfficacyVsInfection_H1_0.5,relative_vaccineEfficacyVsInfection_H1_5,relative_vaccineEfficacyVsInfection_H1_18,relative_vaccineEfficacyVsInfection_H1_50,relative_vaccineEfficacyVsInfection_H3_0,relative_vaccineEfficacyVsInfection_H3_0.5,relative_vaccineEfficacyVsInfection_H3_5,relative_vaccineEfficacyVsInfection_H3_18,relative_vaccineEfficacyVsInfection_H3_50,relative_vaccineEfficacyVsInfection_B_0,relative_vaccineEfficacyVsInfection_B_0.5,relative_vaccineEfficacyVsInfection_B_5,relative_vaccineEfficacyVsInfection_B_18,relative_vaccineEfficacyVsInfection_B_50,relative_vaccineEfficacyVsHospitalization_H1_0,relative_vaccineEfficacyVsHospitalization_H1_0.5,relative_vaccineEfficacyVsHospitalization_H1_16,relative_vaccineEfficacyVsHospitalization_H1_65,relative_vaccineEfficacyVsHospitalization_H3_0,relative_vaccineEfficacyVsHospitalization_H3_0.5,relative_vaccineEfficacyVsHospitalization_H3_16,relative_vaccineEfficacyVsHospitalization_H3_65,relative_vaccineEfficacyVsHospitalization_B_0,relative_vaccineEfficacyVsHospitalization_B_0.5,relative_vaccineEfficacyVsHospitalization_B_16,relative_vaccineEfficacyVsHospitalization_B_65,relative_vaccineEfficacyVsDeath_H1_0,relative_vaccineEfficacyVsDeath_H1_0.5,relative_vaccineEfficacyVsDeath_H1_18,relative_vaccineEfficacyVsDeath_H1_65,relative_vaccineEfficacyVsDeath_H3_0,relative_vaccineEfficacyVsDeath_H3_0.5,relative_vaccineEfficacyVsDeath_H3_18,relative_vaccineEfficacyVsDeath_H3_65,relative_vaccineEfficacyVsDeath_B_0,relative_vaccineEfficacyVsDeath_B_0.5,relative_vaccineEfficacyVsDeath_B_18,relative_vaccineEfficacyVsDeath_B_65,relative_highRiskvaccineEfficacyVsDeath_H1_0,relative_highRiskvaccineEfficacyVsDeath_H1_0.5,relative_highRiskvaccineEfficacyVsDeath_H1_18,relative_highRiskvaccineEfficacyVsDeath_H1_65,relative_highRiskvaccineEfficacyVsDeath_H3_0,relative_highRiskvaccineEfficacyVsDeath_H3_0.5,relative_highRiskvaccineEfficacyVsDeath_H3_18,relative_highRiskvaccineEfficacyVsDeath_H3_65,relative_highRiskvaccineEfficacyVsDeath_B_0,relative_highRiskvaccineEfficacyVsDeath_B_0.5,relative_highRiskvaccineEfficacyVsDeath_B_18,relative_highRiskvaccineEfficacyVsDeath_B_65,prob_death_0,prob_death_5,prob_death_18,prob_death_50,prob_death_65,ratio_death_strain_H1_0,ratio_death_strain_H1_5,ratio_death_strain_H1_18,ratio_death_strain_H1_50,ratio_death_strain_H1_65,ratio_death_strain_H1_75,ratio_death_strain_H3_0,ratio_death_strain_H3_5,ratio_death_strain_H3_18,ratio_death_strain_H3_50,ratio_death_strain_H3_65,ratio_death_strain_H3_75,ratio_death_highrisk_0,ratio_death_highrisk_5,ratio_death_highrisk_18,ratio_death_highrisk_50,ratio_death_highrisk_65,ratio_death_highrisk_75,prob_hosp_0,prob_hosp_5,prob_hosp_18,prob_hosp_50,prob_hosp_65,ratio_hosp_highrisk_0,ratio_hosp_highrisk_5,ratio_hosp_highrisk_18,ratio_hosp_highrisk_50,ratio_hosp_highrisk_65,ratio_hosp_highrisk_75,lowRiskhospitalizationRate_H1_0,lowRiskhospitalizationRate_H1_5,lowRiskhospitalizationRate_H1_18,lowRiskhospitalizationRate_H1_50,lowRiskhospitalizationRate_H1_65,lowRiskhospitalizationRate_H1_75,lowRiskhospitalizationRate_H3_0,lowRiskhospitalizationRate_H3_5,lowRiskhospitalizationRate_H3_18,lowRiskhospitalizationRate_H3_50,lowRiskhospitalizationRate_H3_65,lowRiskhospitalizationRate_H3_75,lowRiskhospitalizationRate_B_0,lowRiskhospitalizationRate_B_5,lowRiskhospitalizationRate_B_18,lowRiskhospitalizationRate_B_50,lowRiskhospitalizationRate_B_65,lowRiskhospitalizationRate_B_75,highRiskhospitalizationRate_H1_0,highRiskhospitalizationRate_H1_5,highRiskhospitalizationRate_H1_18,highRiskhospitalizationRate_H1_50,highRiskhospitalizationRate_H1_65,highRiskhospitalizationRate_H1_75,highRiskhospitalizationRate_H3_0,highRiskhospitalizationRate_H3_5,highRiskhospitalizationRate_H3_18,highRiskhospitalizationRate_H3_50,highRiskhospitalizationRate_H3_65,highRiskhospitalizationRate_H3_75,highRiskhospitalizationRate_B_0,highRiskhospitalizationRate_B_5,highRiskhospitalizationRate_B_18,highRiskhospitalizationRate_B_50,highRiskhospitalizationRate_B_65,highRiskhospitalizationRate_B_75,beta_H1,beta_H3,beta_B,vac_eff_hospitalization,vac_eff_mortality
0,2.6908866225688475,4.775091470435319,0.03653578764391498,0.08480193440980278,0.1131507482681804,0.12613917776617162,0.15448201956383176,0.3111880934405974,0.4658106279506713,0.987720950193618,0.7969420123167154,0.43037503833136287,0.15690671174936208,0.7971723011410243,0.2362768668272828,0.7571520303165318,0.2931067730941635,0.9761643343442465,0.7265891732164043,0.2324554894628989,0.2672894829119037,0,0.7139013863518409,0.4885205210951812,0.5833615835885004,0.5147074547337127,0,0.5628166832495122,0.3365371130570616,0.2596766506516496,0.19701012283529762,0,0.38303327203286,0.5096149697338753,0.13137955911436797,0.25044708452076114,0,1,0.9215463481521958,0.6139837520322516,0,1,0.6982129024793261,0.3166862399795566,0,1,1.6274745860772513,0.5393788234679802,0,1,1.0525796066987356,0.30443110799360706,0,1,1.566633102685469,0.39799200674454555,0,1,1.2851451966463516,0.27234313381083675,0,1,1.1565417879341386,0.4593680108526196,0,1,0.6809719414821961,0.34898327005009855,0,1,1.890258195644086,0.9960189193984039,1.8691616542819234e-05,1e-05,5.144424250099646e-05,0.0009563228325078066,0.011565996071102634,0.444,0.5882,0.1245,0.0277,0.0016,0,1.333,0.8823,1.5897,2.7944,3.1693,1.4822,0.38,1.09,1.45,3.72,5.84,2.75,0.01737526389713026,0.0005063472710937277,0.004178777673443227,0.015723144776409487,0.04235974307216964,0.29944079327153567,0.5456173103633325,4.616307658435419,9.050412350524875,8.477000173579661,2.458995829212796,6.1873424009785225,8.073052346141731,2.6568972797786956,0.9148140564406727,5.254429397891297,8.471426988436988,47.202477317240145,12.555341196353073,6.090182160215635,2.4023075957605085,67.31371191726694,118.83938608655751,38.69565970006127,7.547236523400207,6.972079261157438,1.5125514463236622,12.608384916518945,41.05558475568188,0,2.8672678847333124,15.694958063466444,12.192776335221815,41.509992243341244,18.29074301613743,11.720132333943951,1.030739762091738,42.99332093761605,143.22123914963765,440.20708866338197,447.9516897501566,19.89401394631893,5.782620217002284,35.233741313107394,66.84128204017348,29.59848353929794,261.0236017024443,0.05602748,0.05777868,0.05965933,0.1,0.2
1,4.441209608354379,4.496984840478868,0.043088708351078676,0.09303429633000557,0.11598772340305674,0.11253494681377287,0.15223315717934005,0.31488457879492615,0.46382888925297594,0.8975045097682992,0.6979825144714928,0.38661320349204653,0.20546689091316683,0.6967682360649755,0.22667284124938927,0.7552280366340256,0.3163320041696688,0.7383614316007842,0.6709848508541434,0.26869132729515355,0.2111037907335931,0,0.5357579857915138,0.5248290360257751,0.6106582958926478,0.5086970535793156,0,0.6072198279257875,0.20614677143141696,0.2706245666561341,0.2800090295631012,0,0.42035336532205964,0.6028186109862191,0.21537841512637582,0.29214442712097205,0,1,0.6457550377345699,0.7511021845985314,0,1,0.8547120289161811,0.4958240775443256,0,1,0.4322754038578748,0.5213381398510124,0,1,1.144287528724014,0.369282780354975,0,1,1.645236881614327,0.37750734991106366,0,1,0.8964971811758248,0.27760304969423744,0,1,1.1202633074211432,0.4921471650685612,0,1,1.2580966423145463,0.35403317830021575,0,1,2.092394882997055,0.5592623903118293,2.1537581466406417e-05,1e-05,9.8003213918773e-05,0.0019567714015604975,0.013206911016923669,0.444,0.5882,0.1245,0.0277,0.0016,0,1.333,0.8823,1.5897,2.7944,3.1693,1.4822,0.38,1.09,1.45,3.72,5.84,2.75,0.01239880644593006,0.0006823981917075596,0.0029021436636897805,0.0196640570126932,0.029636265489467708,0.12690658235155977,0.4572033787833818,6.153963780137903,11.987678920835277,11.311058762061386,6.266097830438568,16.40981764865674,2.7272194178586684,0.5575643742889386,0.8019999748949507,2.8817922434226246,4.646154841436476,55.01407314106788,6.496400616838945,10.904612810762634,7.237516607579737,38.455674982465396,62.3800133636164,57.40661315913998,3.562284049343824,8.553807959207887,1.4472427821357405,10.722950123938507,36.93732099097623,0,5.059856155653902,3.2550710468093937,13.906466084973435,22.766158723038735,33.36512285861654,11.339483769970776,3.589544478819162,41.23561568191346,156.58405988012882,235.1483265904851,416.43026494837164,16.03208361625172,3.8863020334102214,24.559406082558752,21.624871700864144,56.54634623840749,315.3728809543217,0.05602748,0.05777868,0.05965933,0.1,0.2
2,4.521707155594934,4.601465434398233,0.04420337960136781,0.08642586118753258,0.11920692752288146,0.1303038532811022,0.16045053743685164,0.3110333306992841,0.47281847229345564,0.969988460641312,0.6269899293653886,0.4684049446733661,0.20516162883976902,0.7451146294224114,0.25095076909187436,0.7678228546439112,0.24264121829486723,0.8600152274056441,0.7502285131981569,0.2864920474433132,0.190236387752689,0,0.7471589593621877,0.6105819831450301,0.5621358062463797,0.2749609612240471,0,0.5596364747501533,0.31112716289801634,0.17814891868443244,0.3945290005349288,0,0.4852349529937251,0.5087611633686348,0.37835858686202944,0.46859732306030977,0,1,0.9687202225954944,0.7817942247803437,0,1,0.6233787173614361,0.5245152944816232,0,1,0.7442543299011929,0.3069869566166185,0,1,1.8475984029681858,0.30771708133539555,0,1,1.6572933682226367,0.3607851308752753,0,1,1.5375932437528332,0.3020979786702537,0,1,1.4689679842088714,0.471405425421007,0,1,1.091306467088415,0.3756970691224239,0,1,1.4423943061466857,1.6275542534501366,3.563410820159422e-05,1e-05,9.368109159491872e-05,0.0007105298336114564,0.015142794707986601,0.444,0.5882,0.1245,0.0277,0.0016,0,1.333,0.8823,1.5897,2.7944,3.1693,1.4822,0.38,1.09,1.45,3.72,5.84,2.75,0.017056330807567594,0.0003990345283794955,0.0037578456518371946,0.012366177551920324,0.036112735353574794,0.26281659115207523,0.3957514012251683,5.868885477234615,18.28478498816725,4.547916207656988,5.1379195750861095,4.688954183391297,1.2825070534836007,1.5379667955297356,0.6400139304112067,2.1592791555437203,3.481286801794978,65.09640002332966,7.393005352352467,16.076844857118573,23.809465585417822,30.77858287294798,134.0418089069977,74.16896226760319,3.109210774170026,2.880281856047184,3.4041412462064935,9.733069580674657,38.6266442615833,0,3.1444665386295494,15.997051327849622,10.778216482426355,17.05830532879539,22.84455869074781,5.610339116119532,4.4444737669252845,89.46900702302665,220.89078608682246,236.19969867298906,741.8553272833915,16.253934903290077,2.9078917624254097,45.0759689074449,92.61060048927165,47.507334131843436,248.3208274555107,0.05602748,0.05777868,0.05965933,0.1,0.2
3,3.7949733133236596,4.718312272340175,0.03844960347517883,0.08251039148777761,0.11411080055632265,0.1150511074424546,0.15829029638288897,0.30268204671799714,0.4677201054555353,0.9634923686921155,0.6062669660897269,0.47190890753743625,0.17050500923469647,0.6252904709439904,0.12139575535514555,0.6782633600992528,0.18279621456694753,0.929060161054122,0.7580027043475556,0.34540807464469514,0.27170496101611463,0,0.7313025138938598,0.6020668500302865,0.5392472268866345,0.495392061683617,0,0.5696669673925583,0.40878246805280155,0.2983279367302226,0.5089240354426158,0,0.515034588930045,0.5428962657432476,0.3696117565910555,0.4017747522770777,0,1,0.8864751978098326,0.6567275381650752,0,1,1.288057162179379,0.40273006209824824,0,1,0.8142512707936599,0.3770006128898746,0,1,1.1797102392962397,0.4567034650818412,0,1,1.5243978192768282,0.2480023939956715,0,1,1.528616804765556,0.4714299564984819,0,1,1.935515317946941,0.635438050699435,0,1,0.9440832254862195,0.7142055231267004,0,1,0.943887175107216,0.5494827494353273,4.4622972671130746e-05,1e-05,9.322237818320874e-05,0.0012550399400983487,0.01042820570901562,0.444,0.5882,0.1245,0.0277,0.0016,0,1.333,0.8823,1.5897,2.7944,3.1693,1.4822,0.38,1.09,1.45,3.72,5.84,2.75,0.01566498523817139,0.0006380768812854164,0.004304753120465241,0.019351387206707288,0.033496597559261855,0.07882691178452285,0.6760408704415998,7.522450344613269,11.565880964177403,7.915164003465651,4.66270972688012,3.258234305815176,1.2930969791389015,0.5895217322583302,0.7563525463165112,9.48874549013361,15.298181504501127,80.602502536754,9.50250628395977,6.050615342210512,10.754982645280206,32.71109436893327,148.66376453782556,61.19717989724662,2.300823081672719,2.967260487746395,8.668984966628344,8.95077385230781,60.07420881296872,0,2.828248994988993,5.275633843565982,19.60517020212435,74.96108937205553,3.5107555605597476,23.36313618323584,4.692277444917775,13.079894805373977,105.56507722743522,356.77421643640315,604.6170149783358,17.259344216708616,5.345091339609203,57.07506764020062,40.49747131406732,74.53652406627201,322.04243712073253,0.05602748,0.05777868,0.05965933,0.1,0.2
4,3.583999404236976,3.878140552011207,0.041102906532460674,0.08740963345520479,0.11253463332487805,0.11906821292025661,0.16364629675295908,0.3038428427278833,0.4738503129765665,0.961248139806741,0.7054779455903156,0.48716461045816073,0.183255484947593,0.7930497245758542,0.25712974134839367,0.7100125135212006,0.2366927812713053,0.9117819633569982,0.5779954926644137,0.3787478150760905,0.26462988843635743,0,0.7500721595794533,0.48240974875474163,0.5441397284156761,0.311391872681059,0,0.5604693669225412,0.3177467755173552,0.33127441840686334,0.28195464426539435,0,0.4583305311321816,0.5785470098834926,0.4432134455403485,0.45084000904545346,0,1,0.6893613036260946,0.8917905906733109,0,1,0.6571794971680457,0.5050863186567336,0,1,0.606540045839149,0.3810629413783966,0,1,1.5153054615398085,0.2839155549206405,0,1,1.5759782267433473,0.33309824939152716,0,1,1.672765580183968,0.32055324558489434,0,1,1.3617266510816854,0.393644800297559,0,1,1.108233733297681,0.511567385695639,0,1,1.6405035353033302,0.6635989916865497,2.3044192791883113e-05,1e-05,0.00011637026512303614,0.0017638620580249062,0.004810192573964425,0.444,0.5882,0.1245,0.0277,0.0016,0,1.333,0.8823,1.5897,2.7944,3.1693,1.4822,0.38,1.09,1.45,3.72,5.84,2.75,0.015564132828416708,0.0007066317580924223,0.0046808214265726235,0.01853560147451566,0.03188093431703244,0.24575503670344173,0.7695894033308575,6.10218116147125,10.252646632679172,4.016080498754863,7.573472555520569,9.688818282864604,5.3310135778271786,1.257423078388894,0.49217672519524724,3.0493764941420007,4.916341694637103,69.60202190695824,3.7271931577010733,10.73871906608447,8.01335183295599,57.720382772393705,55.15229716553464,48.28210918798356,9.988362206674296,6.180664220745943,6.406952666932744,16.932270181818065,5.17689517991914,0,2.8776624389477257,11.117292256601246,13.49402790143364,24.090074303721806,41.25392485616304,16.39617388027657,5.938283232042723,51.71939520657781,160.57020529485038,81.45560803126259,921.9158717125958,10.657009009457399,6.329625918170228,37.280293455988115,61.78935478578666,42.40828816142469,199.18739382568825,0.05602748,0.05777868,0.05965933,0.1,0.2
5,3.307933499639934,3.9542827688668223,0.05343770234759948,0.0887403110942968,0.11470136541354455,0.13107912510501812,0.15933132613060325,0.3104162419113402,0.4725905154604157,0.9166263885867858,0.6758008041926671,0.39460083370691446,0.13653524264848593,0.6572400160052899,0.25276746294318486,0.6805891335995466,0.25859069583311284,0.9534405769079068,0.6611575005764317,0.2860446551208462,0.26090406069639144,0,0.6503667565963327,0.5504484380756847,0.5868469156980477,0.35592588920627133,0,0.5583071287483603,0.29451358938696925,0.33539217263350035,0.15161938404982517,0,0.49642336092105643,0.5195404171787367,0.4806459484638212,0.4447037623898765,0,1,0.84258243714223,0.6370390552520764,0,1,0.6094737702429253,0.3974188210771236,0,1,0.4390776853529767,0.5816818660237476,0,1,2.054337185304019,0.3829666660438921,0,1,1.804781857058554,0.37619966704543484,0,1,1.6555728340775193,0.2685329167518929,0,1,1.0175907474919133,0.5180199393501742,0,1,0.9103949581345429,0.5386356160962907,0,1,1.6880255234920098,0.5760215632338815,3.3536738858169415e-05,1e-05,6.285721067230695e-05,0.0013651390091550142,0.0059456784123994326,0.444,0.5882,0.1245,0.0277,0.0016,0,1.333,0.8823,1.5897,2.7944,3.1693,1.4822,0.38,1.09,1.45,3.72,5.84,2.75,0.0102711853657097,0.0006457446883224215,0.0038959623297857345,0.014343892006957331,0.02999871765865979,0.2812526893140599,0.4258353465441097,5.670717406478112,10.169525995287147,9.187657021824473,3.061533237028787,16.624862273941552,4.490749804258621,0.5095689094915277,0.2899405111578645,6.880087065500533,11.092385268868206,57.21369825367667,5.490437931164731,7.427024719232108,6.3639002959257445,42.896230758156285,57.935754556960916,56.22000483076952,9.992415585357389,4.117205724539622,10.83545210987496,8.784505667988132,41.03806225939226,0,7.142662099866369,4.5912795147441035,12.044735312785512,54.35268781745421,12.556818263827626,13.082994871648562,3.8663678652991065,81.50852442210898,39.515706224066136,287.84228037004146,167.49303728578144,19.791489278743974,4.110732503215878,33.97603400701021,75.04415997840783,28.996192610969846,232.28766111353517,0.05602748,0.05777868,0.05965933,0.1,0.2
6,4.554420905458795,3.896095292668729,0.03603266995275703,0.08805225863245765,0.11376349339597609,0.1246057168664201,0.16230973355857123,0.3090511695803654,0.46410021686154496,0.9680228437794773,0.649840726748773,0.4362598454905392,0.17515214351076488,0.6845920546362725,0.2093600243237671,0.6709769919509432,0.27022534118237257,0.9095455047929557,0.7162306435641751,0.25021647571207056,0.29524080343949155,0,0.7568867109984058,0.5761142930340725,0.4975592489833251,0.4476559402614599,0,0.6090008288964845,0.3502254910354849,0.2526286906911301,0.35809211451306755,0,0.4714371459006895,0.5811661944648571,0.38262537760561866,0.5381538365980929,0,1,0.6781081484360405,1.1534821742059942,0,1,0.8165485008614692,0.3847296306769495,0,1,0.8268991246738625,0.4655209669204413,0,1,1.3709162399018204,0.21950253611882486,0,1,1.2475957710625551,0.36483447514922024,0,1,1.0472450461953384,0.34696129693479016,0,1,0.9857252668767884,0.6069774531916522,0,1,0.8652516726633619,0.4938098661262222,0,1,1.167581052776612,0.6668362276480196,3.759097366394413e-05,1e-05,7.924854833344974e-05,0.0013940609138702717,0.012024320735169906,0.444,0.5882,0.1245,0.0277,0.0016,0,1.333,0.8823,1.5897,2.7944,3.1693,1.4822,0.38,1.09,1.45,3.72,5.84,2.75,0.010738788828620404,0.000359042079248458,0.004197612150926915,0.014315123668471682,0.03752893004499463,0.42762198401498447,0.4700532713600477,6.051421558372209,11.539990338032469,6.277924088938908,8.688498260396328,10.030401439351536,3.2226606758257814,1.9885813848041436,0.7221054539681202,7.744670036604394,12.4863047528928,48.97550983121606,7.248521858865429,7.715117563358144,12.33626542890906,66.45677708765872,94.09775290107436,11.029316396968325,6.737121118846622,5.066465292717171,7.850400279024515,8.184177473030735,53.143493311889856,0,2.9705849308179575,6.426068162123145,11.461743486836415,61.18289328917472,41.379279848501476,16.482313614827092,1.5611602047814512,90.1399589027169,165.50766877001726,373.35970812142705,925.3518890866146,13.807309884667102,3.6574271924849673,37.40601911020154,48.78874318168459,18.323943788557763,359.22689569602295,0.05602748,0.05777868,0.05965933,0.1,0.2
7,3.8655054793728496,4.263722559637274,0.04329472942390542,0.08855036050894466,0.11286609301968539,0.12368383095169337,0.15398696051491054,0.29765266033212184,0.46880750161293816,0.9169174444806892,0.698940074264973,0.3636213955811838,0.08010759836730134,0.727364980467873,0.27827192432585546,0.6710769486379763,0.282695531789498,0.8824275757167539,0.7870119788211112,0.33992573354184635,0.19557886389839413,0,0.6852523071384127,0.475551343164778,0.5939260146247397,0.5110164857141666,0,0.5648890831326416,0.37791389712855766,0.2650174518576711,0.29336398022649857,0,0.5836318467440083,0.5355263664954493,0.3540836146263162,0.5183135560477294,0,1,0.9130831934521009,0.9806383760111131,0,1,0.7049850009622228,0.387712395823166,0,1,0.5357559373985534,0.5309370893378894,0,1,1.4152805457050637,0.19753791090780845,0,1,1.304721403888976,0.38563490464940003,0,1,1.099420700283339,0.34210464413213737,0,1,1.649004495443522,0.5254694009391192,0,1,0.8431721454896365,0.377285133971191,0,1,2.0358845770776113,0.6503488042254155,5.962827990759121e-05,1e-05,0.00010083971983451711,0.0016085198713705648,0.008974279839650164,0.444,0.5882,0.1245,0.0277,0.0016,0,1.333,0.8823,1.5897,2.7944,3.1693,1.4822,0.38,1.09,1.45,3.72,5.84,2.75,0.013857300480677572,0.00047473732195238416,0.0038722643537121623,0.012646776929867825,0.037721725618191676,0.10462920513021848,0.4608157166369786,6.358402285488161,12.775711860956637,7.455911692146803,6.177834703667412,22.124118032472115,2.901947508807977,1.4812898401200676,0.6906634942910916,8.845124856062018,14.260507420997948,79.41605945040737,8.656394488036259,4.066349550822885,29.53773283508432,25.290943941212856,131.2724208763052,26.88155943249665,10.628107729413195,8.337333217238653,6.320715977306925,4.477495357666068,34.04576335703999,0,3.0752604351150072,4.556809332578281,9.317618356089874,69.87648636288995,26.662258573225515,9.957300291727906,4.653721316073485,44.46238041529678,130.12238002263916,318.7344644557542,711.9961216282607,8.278150094528037,2.6647964345449435,23.30889490510099,36.856406925190115,76.57923742412946,305.82851712157753,0.05602748,0.05777868,0.05965933,0.1,0.2
8,4.799433247389218,4.5905467081858,0.040417641664607346,0.0905817910527748,0.11280187751875415,0.1307922272034981,0.148743697315182,0.30145737082009216,0.4698444182944769,0.9797731319226025,0.7352265961129377,0.3742603959791367,0.17293387867650517,0.7508246413350291,0.27677343187943293,0.7756842728872982,0.257624355950091,0.9138653217682837,0.7035745486369023,0.2822227151178091,0.26347033629113015,0,0.5976859907783536,0.47354893053261776,0.47774450064333945,0.4783520300702613,0,0.5865164115374448,0.25015397270136397,0.2844825341792143,0.16984820700324632,0,0.5315986124398014,0.4697372422887586,0.21944140942449075,0.4061732017871835,0,1,0.8610751610262288,0.7320071669717401,0,1,0.5210328585122731,0.6079979304472429,0,1,0.1584596612258444,0.5485638450204332,0,1,1.4770096615402142,0.33803138545205247,0,1,1.033498857130832,0.40935678238899736,0,1,1.0588517535641275,0.45258247324894424,0,1,1.420034609116432,0.49047235140672657,0,1,1.0447614851275036,0.6176643445674477,0,1,4.768344835738213,0.7802841214058608,2.27370388741981e-05,1e-05,0.00014744399199896163,0.0017562043162603538,0.013239271432263293,0.444,0.5882,0.1245,0.0277,0.0016,0,1.333,0.8823,1.5897,2.7944,3.1693,1.4822,0.38,1.09,1.45,3.72,5.84,2.75,0.019462782055795186,0.0004518449669229945,0.004377131476445919,0.0183047437624679,0.04358457143602188,0.2818289051675588,0.3535507850535414,7.409279753892927,7.219838518860256,7.313194867030868,10.729418711328583,10.17494821527278,3.8672142322007783,0.777099306409447,0.6178252727212332,5.442204194888325,8.77416594686077,90.47932072239783,4.099719400684807,7.6784606830836815,25.836673498292157,41.53221761901796,208.52139244835428,65.08088671016728,7.166017946459392,9.229569612968195,1.9346101536665796,9.538517936422775,37.51498684386019,0,1.620338062346796,24.820459582273145,12.157415468640615,42.99341313961777,32.057585566198505,8.380928778034646,6.303437821886245,75.7309494959479,190.15542509961745,208.14112821150397,241.59029852073687,15.130635574895477,2.5459000468634434,36.99335158625761,84.27063664843901,55.97426022484825,94.00767086149772,0.05602748,0.05777868,0.05965933,0.1,0.2
9,3.624816337522247,4.542465608487687,0.03450029000979183,0.09316966620666865,0.11541495270669709,0.12544356896002065,0.15907158170056135,0.3083507328210462,0.478309083165368,0.9349846069903254,0.6313394357529127,0.37672545526735124,0.20687466863963352,0.717185948386366,0.21928982262119873,0.7117535758018361,0.22163908478502303,0.8607933385101799,0.7673605275310325,0.3810110842607622,0.25290990334943914,0,0.5432217221256198,0.3532122756496274,0.6082662349105377,0.12440047100111706,0,0.5752912342504519,0.2990904455033727,0.19290201153869718,0.3870531931819433,0,0.476413405126238,0.48883479026957033,0.4380932685729908,0.3286959775226349,0,1,0.7184649386729468,0.603392496199288,0,1,0.756249915182704,0.48967488497955347,0,1,0.7410046805209126,0.6758488880280086,0,1,1.6366095738496393,0.49149328539380743,0,1,1.304026182868024,0.33871516864909323,0,1,1.1724360995690064,0.3750020763867123,0,1,1.2614947448046212,0.47164384743959137,0,1,0.8969702840407748,0.5239945538334349,0,1,2.873874023515341,0.9810588516864711,3.085692527388434e-05,1e-05,8.951264869974742e-05,0.001615641271637777,0.018097853021960347,0.444,0.5882,0.1245,0.0277,0.0016,0,1.333,0.8823,1.5897,2.7944,3.1693,1.4822,0.38,1.09,1.45,3.72,5.84,2.75,0.010680567403625416,0.0006659553728154569,0.0034687280448306313,0.014475152986686349,0.04275031640639419,0.3479324056661799,0.6372432663179071,2.7943520437848535,12.291120141198803,5.133477443680916,4.679181959623229,7.4261423530999275,4.608472047035362,1.7024931396470142,0.9576426702677497,2.339500671566312,3.77184802150487,42.459539698922505,6.628598680375622,16.312340431616118,25.400059277124903,37.04464469949813,135.09611566566625,49.13591789410815,10.420304244499544,6.3506748608228225,3.0204044273475974,10.578389037954818,38.799259871820674,0,6.046868586042605,11.774375410421818,6.611832464918916,18.482055305373866,10.19106945959283,8.302613809988326,6.638066389408566,65.29689610929073,286.2739763005936,441.8036040313807,416.9068416375088,13.006406567519578,6.692752720567731,23.6271702245046,68.7586850762608,20.23768150780581,148.15061899511338,0.05602748,0.05777868,0.05965933,0.1,0.2
