,iter,incidence(millions),beta_H1,beta_H3,beta_B,susceptibility_H1_0,susceptibility_H1_5,susceptibility_H1_25,susceptibility_H1_65,susceptibility_H3_0,susceptibility_H3_5,susceptibility_H3_25,susceptibility_H3_65,susceptibility_B_0,susceptibility_B_5,susceptibility_B_25,susceptibility_B_65,vac_eff_hospitalization,vac_eff_mortality,prob_hosp_scaling,prob_death_scaling
0,0,28.570289650470762,0.0019238076226668621,0.001890977210998568,0.0016456202328742895,0.6781191954032313,0.6767452342929858,0.7053430610308412,0.928112072614086,0.8575275358072862,0.6869123750922254,0.5933971683710721,1.0,0.6886708000541644,0.8537123554940459,0.7598940004078879,0.6573339840579715,0.16438265501164973,0.1432453910302346,0.00019876116783423822,4.991522168090734e-05
1,1,29.125574200314325,0.002869146226213537,0.002090704242731112,0.0017861777420393188,0.760110621247229,0.5748951558015813,0.43207430514372214,0.51491862223791,0.6984725439840146,0.7159797501557239,0.6106319871747214,1.0,0.9305373670116804,0.8581228999690622,0.7207552124875175,0.844657272032188,0.3619870530367063,0.5927251879122554,0.0005190005332557646,5.2686419362790726e-05
2,2,28.68482023661903,0.0018814144860763715,0.0018105399375988875,0.001395963177859394,0.5412305596091253,0.5840854395340317,0.6839618833913472,0.740504102981697,0.7803584304717138,0.6467709269713907,0.5495465683069756,1.0,0.5140360768261923,0.8713431764547552,0.8176711805717471,0.8915840771811555,0.727513594079045,0.683409603363096,0.0002454124662815138,8.554290089318739e-05
3,3,28.380676183852767,0.0018805342381456038,0.0019882370702909435,0.0016623254432702186,0.7620668637185054,0.656298712338953,0.7397325701607872,0.7916211123314107,0.8252503777369475,0.6392490427357453,0.5838664539517257,1.0,0.905370553952142,0.8396226451034939,0.6514289321121434,0.731622740418617,0.03623430312994413,0.4150474077853216,0.000315490940290597,1e-08
4,4,29.409383349424385,0.0017996288584103406,0.0014873208140523952,0.001325454108458024,0.8153528383386912,0.6762981085807145,0.6252141706049917,0.5498289560433076,0.9981086005658748,0.8318024236674595,0.6586331131913353,1.0,0.4294336485212288,0.8563440950834,0.9198424532175442,0.8374263955408034,0.34210066134458306,0.4053006688223387,0.00011506693614132812,6.49209073694812e-05
5,5,29.259513545235443,0.0019960145749515767,0.00177039013553143,0.0020059306457508863,0.846049914972507,0.581072060858501,0.5932393726592433,0.6829979499373455,0.8741483770511101,0.6522552071255352,0.6519045500154717,1.0,0.5537697139981413,0.6165551246486954,0.5330128490159474,0.9935231450682948,0.3144699100503797,0.7240922002365503,0.0006400786708490869,2.2418730449169644e-05
6,6,28.50851597149331,0.002250738822396292,0.00267217196005598,0.001706470822102124,0.937126716036454,0.5223479584440304,0.5801621857731072,0.8179343865584338,0.6543037386016338,0.4739367709409929,0.4298273094849826,1.0,0.5398421341621524,0.8977859773606846,0.611014340901095,0.5338201043527449,0.459043088969411,0.7528548418443568,0.0002196027549010715,4.2614004352292685e-05
7,7,29.222074256590354,0.0016801264924475867,0.002273899455927764,0.0018626874764892665,0.5863256532453157,0.6782718388899618,0.7558979407504974,0.904736897046406,0.7377058430939712,0.4921369918276352,0.40249524132084014,1.0,0.8340918071479357,0.6425963485253509,0.5477470497142657,0.6318121409884168,0.8914266361720848,0.8336711204707122,0.00027699308368406284,3.023657454254147e-05
8,8,29.08615768308211,0.0013878999021364467,0.0013909173937476373,0.0013580769619135347,0.9236967823352316,0.8708290629864067,0.825173524971023,0.4859073330880358,0.7762124992075486,0.8629641218468893,0.8019635537270475,1.0,0.7857943985906006,0.8484631318476022,0.8501740006442453,0.988152774203472,0.02771138006985852,0.10052628427360548,0.0004418509861909836,6.110295730010762e-05
9,9,29.440666967039352,0.001324308919792072,0.0015429262720377255,0.001379494717027585,1.0,0.8171056669772299,0.9319529722941589,0.5737155225210959,0.8404634430365605,0.7411047957972131,0.6308566138689554,1.0,0.4735227546821137,0.9224050569683534,0.6795603318519796,0.7844644274403928,0.423463881523244,0.7747038553946315,0.0005361110518562473,7.156657392032306e-05
0,10,28.37703498738208,0.001889853628422089,0.0019355990123721132,0.0015106448253542903,0.7281649851654829,0.5915358155573687,0.6460228395879984,0.5944555451082623,0.998731788253956,0.5947111677946461,0.4691180332909472,1.0,0.6395977489385151,0.8337868379409576,0.6849385034151957,0.7877008212916466,0.4217384829003023,0.39898063729971023,0.00035080414546462263,3.266695828851863e-05
1,11,29.227978892669906,0.0013849109245377964,0.001956003060757494,0.0013870212724730881,0.916439790066896,0.8497992297630903,0.9454795058558464,0.7946240666801812,0.9461980913353104,0.593124157380577,0.4948437785516182,1.0,0.8798318639369404,0.9479631614198027,0.7362878075001394,0.6224624345817904,1e-08,0.5066182403194721,0.00024079133179161216,2.7170918958541176e-05
