iter,incidence(millions),beta_H1,beta_H3,beta_B,susceptibility_H1_0,susceptibility_H1_5,susceptibility_H1_25,susceptibility_H1_65,susceptibility_H3_0,susceptibility_H3_5,susceptibility_H3_25,susceptibility_H3_65,susceptibility_B_0,susceptibility_B_5,susceptibility_B_25,susceptibility_B_65,vac_eff_hospitalization,vac_eff_mortality
300,26.554750322820603,[0.0026221368293820602],[0.0019257234118225663],[0.0016197958180265704],[0.72941293486561209],[0.40585318697051675],[0.48158748569876053],[0.58000008528707414],[0.77580520436936162],[0.61887039958837242],[0.56407500926100473],[1.0],[0.99704657942201447],[0.6348926837832054],[0.84019451741803342],[0.7577878463523553],[0.0026221368293820602],[0.0019257234118225663]
301,26.645090629347354,[0.0017084015930656782],[0.0016190474071355321],[0.0016251363749705816],[0.95736065398244041],[0.73717340576814328],[0.71370074687041629],[0.95957588123917059],[0.98849736202818517],[0.74707481300793444],[0.69478633368839982],[1.0],[0.61948120075885504],[0.83818444871430797],[0.70378705202143466],[0.82312214695269637],[0.002128223621754799],[0.0016177329677157237]
302,27.292515622849788,[0.0019976589359372299],[0.0017207376068495428],[0.0024053548247066625],[0.78227399799382524],[0.53100045427790954],[0.60033234509542543],[0.74265598122393128],[0.77257781804371839],[0.65230591922875025],[0.59114496443366438],[1.0],[0.7457943554137072],[0.51582759279300794],[0.31670313605026468],[0.68148351534137808],[0.0019976589359372299],[0.0017207376068495428]
303,26.375939963445756,[0.0017939102617518521],[0.0019691174852431992],[0.0022884008372382469],[0.7096747580242373],[0.72016674788218393],[0.7805275599539625],[0.50059616899346748],[0.78318173367775801],[0.63955705664189955],[0.63935814864563756],[1.0],[0.48066493008184141],[0.64604624975042535],[0.4215869085230658],[0.90265673020587578],[0.0017939102617518521],[0.0019691174852431992]
304,26.688177017088993,[0.0017490905119154077],[0.0021000867828231407],[0.0024462042043305043],[0.53923510854744161],[0.67829067215726579],[0.75951262005022668],[0.9323333707352901],[0.86878032641798886],[0.586434398653635],[0.49908429248198061],[1.0],[0.55722586343103286],[0.53713941796302833],[0.41608320874998905],[0.77655553448342229],[0.0015269136648868309],[0.0015310433764631481]
305,25.573907409847255,[0.0015124758985574083],[0.0018587357209097211],[0.0019344461614949626],[0.55695332497845762],[0.71721776563598028],[0.96053161858689495],[0.95088847247068808],[0.73154805787528698],[0.65939981875846621],[0.58009393767089235],[1.0],[0.56932753492460708],[0.66089769290352862],[0.56267748410377938],[0.85242948588347911],[0.0025597364239463016],[0.0013879941995252887]
306,25.96365390411119,[0.0017484601480771134],[0.0016506662148628171],[0.0022087526560800597],[0.76459862708555437],[0.70427809881359338],[0.84653614506957675],[0.77114055593963649],[1.0],[0.80702334071735471],[0.71586728368150265],[1.0],[0.87804231234106922],[0.65376112170504042],[0.46774762818502386],[0.99997932907445652],[0.0017484601480771134],[0.0016506662148628171]
307,27.575005862111063,[0.0027056704340163718],[0.0021960307951904845],[0.0026389102428546196],[0.44648662867262895],[0.48518362930828757],[0.55519636937757377],[0.88447680414630758],[0.68097478571771619],[0.62839964398344117],[0.56545980310936661],[0.99442039113696912],[0.85533595653003325],[0.51586493833614999],[0.40713673603361306],[0.77261428278813549],[0.0027056704340163718],[0.0021960307951904845]
308,26.281478436499906,[0.0016118769281604495],[0.0015984319304415129],[0.0014575343426409537],[0.81912478900529062],[0.70966359796373846],[0.93230753562408497],[0.52200251263928443],[0.64675225429734196],[0.79003848168997315],[0.79646794001857546],[1.0],[0.99568135712569805],[0.96671718773896198],[0.70626028494419923],[0.85028051272370364],[0.0015658469070732872],[0.0014115584516675717]
309,27.290540521695043,[0.0016085110589307283],[0.0016842653560110166],[0.0020004534541034902],[0.52812709118075607],[0.72402234635256335],[0.86137774088531416],[0.99969671642308233],[0.92658552422127882],[0.75538896598017502],[0.63471685557591917],[0.79189623680653498],[0.42830980841079491],[0.6634497621434261],[0.55372187997170474],[0.48407021743807943],[0.0016085110589307283],[0.0016842653560110166]
