iter,incidence(millions),vac_eff_hospitalization,vac_eff_mortality,prob_hosp_scaling,prob_death_scaling
3000,26.232877379999998,[0.44976285576580516],[0.35092451348556475],[0.0073516146588353815],[2.7154866493794838e-05]
3001,25.163747230000002,[0.71244857740699807],[0.41176801944190222],[0.013298395827783471],[3.5524969588363042e-05]
3002,25.56889975,[0.29146369764084157],[0.082344411569363563],[0.0034912538055639208],[2.2078600325103892e-05]
3003,27.49823084,[0.87588983212975968],[0.50212142600490206],[0.010957044851702902],[4.6817455100212069e-05]
3004,26.206156399999998,[0.22060565896022499],[0.11939585767023991],[0.0079439807870836376],[3.3796365310756471e-05]
3005,25.38673121,[0.70877761394972738],[0.81976231695759028],[0.0075321456517731811],[6.5397845205150684e-05]
3006,26.393283649999997,[0.95586135768473501],[0.68150488468941794],[0.014451799875229099],[5.2433037034449459e-05]
3007,26.13576123,[0.313333181473192],[0.30012985171967221],[0.012111474174449022],[2.8086119125469988e-05]
3008,25.97898884,[0.65688915375647072],[0.33251695915185575],[0.0069241504469521042],[3.4254479930995174e-05]
3009,26.83426602,[0.93785358572160316],[0.98782397799274491],[0.012554752905963362],[3.9104766585362771e-05]
3010,24.769863179999998,[0.78098861655261631],[0.056640016609929178],[0.0063474603886319869],[2.2064883718309058e-05]
3011,26.319837670000002,[0.329707963300999],[0.51727306553707031],[0.0076831868316011298],[5.9003207629693133e-05]
3012,25.439062739999997,[0.23095169928538678],[0.88129642451206114],[0.0054241767856111345],[4.2954531841665755e-05]
3013,25.94690805,[0.54775907966666204],[0.9769872942393687],[0.0070797523629256842],[4.6849706759499732e-05]
3014,25.538486149999997,[0.96944554814463313],[0.062216917161806107],[0.0058506699482893665],[3.6615372942749858e-05]
3015,27.87877818,[0.93078334713071875],[0.77176886498853026],[0.0052372349868965995],[4.2349764546034674e-05]
3016,25.61817302,[0.46120111165458477],[0.10164129541792138],[0.0092872647660218188],[5.9113715269176748e-05]
3017,26.6701182,[0.96781615757300343],[0.43934719788074733],[0.014176755119900741],[4.6514292094901322e-05]
3018,26.15113685,[0.88713880895996933],[0.26192200098005125],[0.013141676708670724],[4.3775931142131519e-05]
3019,27.29189872,[0.57385109021741398],[0.39321759503853732],[0.0098053627171227342],[3.3143268855895247e-05]
3020,26.36750144,[0.29246860114486772],[0.80834227682601045],[0.0079319351103775415],[8.3180064480492533e-05]
3021,25.6881177,[0.80067964593903485],[0.20366011216227514],[0.0076639710620520218],[3.159818352116428e-05]
3022,25.54776829,[0.89070879434693584],[0.019924957567523605],[0.01359281651109967],[3.9971523112358742e-05]
3023,27.110519030000003,[0.90962918295990547],[0.52190611547310473],[0.0073363940042139308],[5.7080892350125367e-05]
3024,28.576510239999998,[0.85624849703987782],[0.62961631684702535],[0.0078469475985190607],[3.0196903057166935e-05]
3025,24.59693634,[0.93564071286576045],[0.58719612582927017],[0.010213353201101061],[7.9335651552214781e-05]
3026,27.30822844,[0.1781543657640029],[1e-08],[0.0051619878465289371],[6.1495883549644859e-05]
3027,26.15304291,[0.37049522945170299],[0.55167509730553421],[0.004580368462883122],[5.6688617241229533e-05]
3028,25.94995491,[0.10433173213313623],[0.71877750355550152],[0.0051984753580285314],[3.8062925655113489e-05]
3029,26.99163208,[0.31227516839529956],[0.72062372488226512],[0.0034429351112477691],[2.3032203605999335e-05]
3030,26.02417941,[0.35543195572205782],[0.61468588837024418],[0.0043234980052762051],[4.6394024133755707e-05]
3031,26.03571789,[0.99333820603238077],[0.25687311890138897],[0.018246799016385373],[2.3081122078105754e-05]
3032,24.95520566,[0.12867560058924676],[0.62563467373824355],[0.0071368305379009844],[4.9313420085794757e-05]
3033,25.45644536,[0.71195710255473121],[0.16177273943085452],[0.0099852307581103084],[3.2031097465745617e-05]
3034,25.754060550000002,[0.34823706622547423],[0.01106212052079214],[0.0054490773537212989],[1.8458653542996473e-05]
3035,26.01825989,[0.72892476704857911],[0.011895950230613073],[0.0064891407654544819],[3.4061271678820226e-05]
3036,27.90034639,[0.14719944200777391],[0.52279123409846284],[0.0053625518606932321],[5.5784325765917409e-05]
3037,26.78188071,[0.48705394629588172],[0.27008688188003577],[0.0083036454090923417],[4.2760969996447074e-05]
3038,27.00932367,[0.53909044271111894],[0.79467529116024083],[0.0083130301344026547],[3.0843867683205684e-05]
3039,26.89119765,[0.18069540372713405],[0.54325533471136056],[0.0059602062333284356],[4.6384992734516128e-05]
3040,25.012975920000002,[0.16524133927381918],[0.75917700524037646],[0.0072591025436797851],[5.5586121518347298e-05]
3041,25.87761828,[0.45452939617391597],[0.34488440694833777],[0.0069655836185789077],[3.9216707109879234e-05]
3042,26.26687079,[0.71924728202857691],[0.4574599051154204],[0.012217485401496753],[5.5960830088519486e-05]
3043,26.6328178,[0.061365852259006204],[0.62986172172036459],[0.0034939709583740597],[4.2981219998516895e-05]
3044,27.057168129999997,[0.0045489861493629435],[0.60774432482997243],[0.0055379422079817608],[4.8752499120285897e-05]
3045,26.41393984,[0.39926123563161925],[0.33035558899893958],[0.0065311172310910659],[4.8364445517534715e-05]
3046,25.57123189,[0.59284291742403872],[0.42843085396801239],[0.010826237855290299],[3.4880086981881053e-05]
3047,25.79702028,[0.79190532746657416],[0.70110397873549535],[0.01047557312018832],[4.1462926511748321e-05]
3048,26.40874848,[0.16547386390203295],[1e-08],[0.0083684290131023631],[6.5783843090472249e-05]
3049,26.3677342,[0.4166934744235502],[1e-08],[0.0064232527723123711],[3.5670751244443188e-05]
3050,26.545530969999998,[0.94827539546288109],[0.0094465779979115982],[0.0070408341024291721],[3.7460910175812767e-05]
3051,26.26904699,[0.63332527463354371],[0.28632771023001491],[0.006231731896694126],[3.0867117381372378e-05]
3052,24.99769891,[0.31024249379087843],[0.7164069245330541],[0.0038494157825142983],[3.9389828793645609e-05]
3053,26.12037706,[0.87529849540430171],[0.06927329535465887],[0.0077265561094657653],[3.4721386542480026e-05]
3054,24.88608356,[0.28701284230839863],[0.77375465353825057],[0.0056173900207622807],[8.1733603048361747e-05]
3055,27.00446873,[0.28638771627185616],[0.98612146264677336],[0.006786959376665902],[6.1495548574597159e-05]
3056,27.134153960000003,[0.95760556442678735],[0.68383820197626755],[0.014250896617149011],[4.6885453699074819e-05]
3057,26.78598006,[0.97760508729069695],[0.24430258452572351],[0.005167767327916184],[3.8677047689283928e-05]
3058,27.3525241,[0.71413707674037696],[0.95631022793708464],[0.010485755116819928],[5.5681271831198309e-05]
3059,25.077007010000003,[0.91605413674200487],[0.62863004817374213],[0.0043210138534572895],[5.729857153052853e-05]
3060,26.17516107,[0.055678371703697493],[0.81473801552656155],[0.0047557840181230993],[6.456283322092693e-05]
3061,26.94092232,[0.71178962474337504],[0.081885413880100011],[0.0076777828098326673],[3.611750759763277e-05]
3062,26.02041369,[0.24938201500003543],[0.29216341881134239],[0.0021049111345760041],[2.2524855222527673e-05]
3063,25.790301890000002,[0.62903196513022686],[0.47531323354607707],[0.0069562784240396192],[2.8780876130007904e-05]
3064,25.89852605,[0.18917933154775068],[0.11558921722123711],[0.0059772813971794014],[2.0138496785782056e-05]
3065,26.63796907,[0.3523767226371976],[0.8665264674279729],[0.0072592453955350744],[5.4489608020125146e-05]
3066,24.976946429999998,[0.10734757603455286],[0.14848198882498098],[0.0080412364532737035],[2.5655180510397724e-05]
3067,26.785505739999998,[0.099725582503245647],[0.89653093591440791],[0.0057178794896998175],[8.2053207423549157e-05]
3068,27.58655775,[0.36006572711729434],[0.53889510847556443],[0.0093990497961948249],[3.0681929070075498e-05]
3069,24.462091190000002,[0.2894793278379606],[0.60904698185287998],[0.0077209106444366404],[3.9165217982195522e-05]
3070,26.0498252,[1e-08],[0.10739915184243909],[0.0071626993561471064],[3.7343715293847168e-05]
3071,26.570058170000003,[0.012164207594101362],[0.84257681242139271],[0.0071374492532320644],[5.3056422371910994e-05]
3072,27.05229323,[0.41729087423849004],[0.92224861892569621],[0.0076716293270246427],[3.4966772554323455e-05]
3073,25.64656538,[0.57303953074909797],[0.44205997254687468],[0.0044539250835695099],[4.4086966492995483e-05]
3074,25.190618559999997,[0.65107600230205609],[0.83608018054224709],[0.011191766074655607],[5.297189112279943e-05]
3075,26.669555690000003,[0.53591873664764589],[0.79445272095727915],[0.0055446720545771488],[3.3903492007825164e-05]
3076,25.36825622,[0.10564785303694096],[0.2908450468497118],[0.0065809050098268318],[7.2394657671892571e-05]
3077,26.816217050000002,[0.99870484808561433],[0.54449854141655918],[0.0059968824817183131],[3.4465987945708765e-05]
3078,25.94058705,[0.18720493971678009],[0.081081906556461802],[0.0044907901309289566],[2.8495409877871136e-05]
3079,26.88119171,[0.30440898490518886],[0.41038623677272301],[0.0074781787948462464],[3.0647769657499158e-05]
3080,26.320017489999998,[0.7538905876432086],[0.81791159157157733],[0.0084019482300283777],[3.8490867179052923e-05]
3081,26.050839410000002,[0.55781935834675622],[0.16915221647272793],[0.010422895562985868],[7.6919560524579822e-05]
3082,26.12080229,[0.1766134898962255],[0.50323087162675584],[0.0044055491509474298],[2.8951267300070249e-05]
3083,25.18689725,[0.33373365994767468],[0.97359598459399455],[0.0076531315578515224],[6.3874474313774243e-05]
3084,24.97830014,[0.24877499555109139],[0.22533295739868042],[0.0057215332168665811],[5.8202422227482398e-05]
3085,26.272339719999998,[0.87061502485971309],[0.25541573297456843],[0.0084875195116629887],[6.7254948704242867e-05]
3086,27.620460010000002,[0.86119027189072539],[0.061309619234109269],[0.0083956677922669143],[1.8802283215657578e-05]
3087,25.86068252,[0.074286580603072749],[0.7454082596762609],[0.0056040463688074582],[5.5481696616843656e-05]
3088,24.69571476,[0.45462459948357176],[0.51728941888374447],[0.0080475661718391045],[3.4857487216044536e-05]
3089,26.03475676,[0.74341894014137599],[0.93577546929106226],[0.0052818009347510575],[5.3605967369363405e-05]
3090,26.279044350000003,[0.7259110804830885],[0.32302019415862476],[0.0057338734013123172],[1.6484931202043196e-05]
3091,26.52471045,[0.96562244523048102],[0.72952070909460431],[0.0054507888833511542],[4.7258669885086313e-05]
3092,25.907163760000003,[0.053492105365561926],[0.93451556618294185],[0.0063475498972450084],[5.3606186144750101e-05]
3093,26.939535109999998,[0.96360791261174483],[0.013360086274692651],[0.010621691929147137],[2.4572604093220374e-05]
3094,26.55761257,[0.61779722016219052],[0.94563678139294993],[0.008347984524950891],[3.9773163496181763e-05]
3095,26.488210239999997,[0.96645297407299902],[0.96595787269377442],[0.005793158837073209],[4.119489668874543e-05]
3096,25.23460014,[0.17431282252652419],[1e-08],[0.0068290097514180359],[4.9280217718161712e-05]
3097,28.37325897,[0.46681413228400276],[0.032905147444134863],[0.0048660469143123053],[3.3504835427577984e-05]
3098,26.920616149999997,[0.12097687030175691],[0.68627801533178601],[0.0076762463620419497],[4.9072340584321861e-05]
3099,25.719794309999997,[0.88563150989766903],[0.75386833906553852],[0.019001114161978805],[3.9617189169505185e-05]
