,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Puerto Rico,age
"(0,)",58514,11160,85178,38211,489444,66792,35392,11035,9681,225621,130657,18258,22790,155581,82944,39127,38607,55351,63647,12528,72983,71568,112359,69704,37440,74134,12605,26313,36338,12463,102648,25168,236715,120763,11192,137292,52338,46044,139255,11043,57467,12328,81151,403211,50982,5868,102637,89914,19276,66064,7596,29214,0
"(1,)",59340,11002,87743,38619,500468,66990,36979,10987,9410,225827,132335,18060,23334,157820,84480,39915,38490,55560,63362,12800,73903,72297,114774,70615,38091,75078,12698,26965,36959,12649,103989,25626,237946,121391,11132,139756,52880,46693,141906,10971,58788,12323,81649,406573,50831,6010,102758,90596,19886,67181,7582,30754,1
"(2,)",58865,10896,87678,38100,498412,67034,36843,11005,8435,226021,131658,18259,22736,155159,83946,40007,39114,55479,63031,12877,73212,72204,115595,71101,37994,75683,12532,26721,36322,12628,104915,26153,232932,121664,10874,140342,53173,47228,142925,10860,58389,12442,80942,404224,50625,6205,102046,90223,20280,67439,7563,32286,2
"(3,)",57959,10939,87642,37755,498644,66768,37197,10909,8563,223655,131221,18620,23102,154422,84527,39694,39214,55359,61484,13065,73347,72527,114716,70534,37714,74978,12462,26343,36900,13308,105326,26308,233572,120612,10576,140622,53610,47046,142929,10871,58149,12231,81064,399097,51324,6046,102048,90664,20566,67558,7539,33335,3
"(4,)",58903,10667,87548,38558,497804,67519,37817,11251,8376,225741,134398,18324,23062,156220,84593,39461,39369,54958,61024,13124,73733,72984,115164,70570,38429,74743,12446,26126,36389,12976,106576,26502,232575,121476,10317,139614,53344,47136,143503,10970,59081,12126,81486,396110,49576,6137,102400,90271,20469,68318,7602,34827,4
"(5,)",59354,10847,88559,38421,509019,68976,39121,11377,8113,226865,135649,18305,23615,157981,84834,39019,39759,54724,61341,13123,74854,74218,115945,70588,38375,75521,12367,26261,37847,13726,108594,27081,234707,122594,9981,139638,53846,47757,144441,11083,59515,11960,80725,403537,51003,6170,102885,91600,20398,68864,7704,35040,5
"(6,)",59581,10523,88101,38654,497890,70235,39349,11287,7013,223928,136763,17208,24048,159142,85718,40639,40428,54874,60830,13652,74636,73305,117224,71600,38933,75374,12462,26443,37696,13576,107694,27520,227537,125274,9966,140640,53687,48316,144754,11048,61024,11941,81242,405801,51970,6217,102263,92090,20310,71016,8022,37274,6
"(7,)",60146,10319,89835,38717,496997,70074,39918,11223,6531,224845,137738,16844,24415,158506,85826,40842,39894,55373,61525,13742,73612,73166,116976,71222,40539,76065,12748,26633,37832,13768,107123,27783,221469,127034,9931,141889,53883,48237,144679,10981,61968,11971,82271,404747,51926,6269,101221,91249,20313,70861,8024,37856,7
"(8,)",62439,10437,93874,40151,516071,71788,41533,11467,6341,233951,143813,17288,25314,163819,88811,41884,40740,56737,63640,14310,76142,75470,120388,73530,42176,78409,13021,27052,39429,14242,110366,28440,226905,131247,9932,145427,54851,49871,148834,11457,63456,12250,85575,415200,53395,6520,105247,93261,21165,72986,8316,38156,8
"(9,)",62295,10303,94464,40654,517609,72759,42455,11388,6161,236560,144775,16933,25403,164926,89528,41965,40789,57356,63825,14500,76017,76025,122385,73887,43255,78829,13233,26783,39351,14758,111608,28587,227214,131885,9762,147242,54993,49684,149749,11475,64248,12227,85427,413828,53318,6727,105702,92630,21125,73760,8243,39562,9
