,State,6months-4 years average,5-12 years average,13-17 years average,18-49 years average,50-64 years average,65 years or more average
1,Alabama,68.92720588,59.30833333,44.11764706,32.55381653,45.01008403,64.96677171
2,Alaska,68.92720588,59.30833333,44.11764706,32.55381653,45.01008403,64.96677171
3,Arizona,68.92720588,59.30833333,44.11764706,32.55381653,45.01008403,64.96677171
4,Arkansas,68.92720588,59.30833333,44.11764706,32.55381653,45.01008403,64.96677171
5,California,68.92720588,59.30833333,44.11764706,32.55381653,45.01008403,64.96677171
6,Colorado,68.92720588,59.30833333,44.11764706,32.55381653,45.01008403,64.96677171
7,Connecticut,68.92720588,59.30833333,44.11764706,32.55381653,45.01008403,64.96677171
8,Delaware,68.92720588,59.30833333,44.11764706,32.55381653,45.01008403,64.96677171
9,District of Columbia,68.92720588,59.30833333,44.11764706,32.55381653,45.01008403,64.96677171
10,Florida,68.92720588,59.30833333,44.11764706,32.55381653,45.01008403,64.96677171
11,Georgia,68.92720588,59.30833333,44.11764706,32.55381653,45.01008403,64.96677171
12,Hawaii,68.92720588,59.30833333,44.11764706,32.55381653,45.01008403,64.96677171
13,Idaho,68.92720588,59.30833333,44.11764706,32.55381653,45.01008403,64.96677171
14,Illinois,68.92720588,59.30833333,44.11764706,32.55381653,45.01008403,64.96677171
15,Indiana,68.92720588,59.30833333,44.11764706,32.55381653,45.01008403,64.96677171
16,Iowa,68.92720588,59.30833333,44.11764706,32.55381653,45.01008403,64.96677171
17,Kansas,68.92720588,59.30833333,44.11764706,32.55381653,45.01008403,64.96677171
18,Kentucky,68.92720588,59.30833333,44.11764706,32.55381653,45.01008403,64.96677171
19,Louisiana,68.92720588,59.30833333,44.11764706,32.55381653,45.01008403,64.96677171
20,Maine,68.92720588,59.30833333,44.11764706,32.55381653,45.01008403,64.96677171
21,Maryland,68.92720588,59.30833333,44.11764706,32.55381653,45.01008403,64.96677171
22,Massachusetts,68.92720588,59.30833333,44.11764706,32.55381653,45.01008403,64.96677171
23,Michigan,68.92720588,59.30833333,44.11764706,32.55381653,45.01008403,64.96677171
24,Minnesota,68.92720588,59.30833333,44.11764706,32.55381653,45.01008403,64.96677171
25,Mississippi,68.92720588,59.30833333,44.11764706,32.55381653,45.01008403,64.96677171
26,Missouri,68.92720588,59.30833333,44.11764706,32.55381653,45.01008403,64.96677171
27,Montana,68.92720588,59.30833333,44.11764706,32.55381653,45.01008403,64.96677171
28,Nebraska,68.92720588,59.30833333,44.11764706,32.55381653,45.01008403,64.96677171
29,Nevada,68.92720588,59.30833333,44.11764706,32.55381653,45.01008403,64.96677171
30,New Hampshire,68.92720588,59.30833333,44.11764706,32.55381653,45.01008403,64.96677171
31,New Jersey,68.92720588,59.30833333,44.11764706,32.55381653,45.01008403,64.96677171
32,New Mexico,68.92720588,59.30833333,44.11764706,32.55381653,45.01008403,64.96677171
33,New York,68.92720588,59.30833333,44.11764706,32.55381653,45.01008403,64.96677171
34,North Carolina,68.92720588,59.30833333,44.11764706,32.55381653,45.01008403,64.96677171
35,North Dakota,68.92720588,59.30833333,44.11764706,32.55381653,45.01008403,64.96677171
36,Ohio,68.92720588,59.30833333,44.11764706,32.55381653,45.01008403,64.96677171
37,Oklahoma,68.92720588,59.30833333,44.11764706,32.55381653,45.01008403,64.96677171
38,Oregon,68.92720588,59.30833333,44.11764706,32.55381653,45.01008403,64.96677171
39,Pennsylvania,68.92720588,59.30833333,44.11764706,32.55381653,45.01008403,64.96677171
40,Rhode Island,68.92720588,59.30833333,44.11764706,32.55381653,45.01008403,64.96677171
41,South Carolina,68.92720588,59.30833333,44.11764706,32.55381653,45.01008403,64.96677171
42,South Dakota,68.92720588,59.30833333,44.11764706,32.55381653,45.01008403,64.96677171
43,Tennessee,68.92720588,59.30833333,44.11764706,32.55381653,45.01008403,64.96677171
44,Texas,68.92720588,59.30833333,44.11764706,32.55381653,45.01008403,64.96677171
45,Utah,68.92720588,59.30833333,44.11764706,32.55381653,45.01008403,64.96677171
46,Vermont,68.92720588,59.30833333,44.11764706,32.55381653,45.01008403,64.96677171
47,Virginia,68.92720588,59.30833333,44.11764706,32.55381653,45.01008403,64.96677171
48,Washington,68.92720588,59.30833333,44.11764706,32.55381653,45.01008403,64.96677171
49,West Virginia,68.92720588,59.30833333,44.11764706,32.55381653,45.01008403,64.96677171
50,Wisconsin,68.92720588,59.30833333,44.11764706,32.55381653,45.01008403,64.96677171
51,Wyoming,68.92720588,59.30833333,44.11764706,32.55381653,45.01008403,64.96677171
