,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,age
"(0,)",59426.55535,9066.08172,84467.23488,36535.05418,480451.1029,67612.80697,43864.16775,11647.98606,252553.9686,126097.5693,17467.52872,20540.52747,156933.6322,81109.4608,38278.99133,35550.8358,54237.31592,57294.43269,16263.83576,73660.51712,83428.96397,121449.4299,67551.00295,36500.62487,74472.63788,12698.93567,23322.95561,35936.24594,16322.31422,109772.9443,25497.14902,242524.6856,124178.8814,9237.568017,142101.0089,47941.91285,49956.58953,156338.932,12930.13529,60640.34724,10533.48407,81297.70938,341173.6392,37220.8282,7621.322502,102876.8623,89018.99423,22357.4924,70581.50302,7151.29404,0
"(1,)",60163.20922,9178.465219,85514.29399,36535.05418,480451.1029,67612.80697,43864.16775,11792.37495,255684.6374,127660.6796,17684.05688,20795.14864,158878.9876,82114.89681,38753.49918,35991.52534,54909.64378,58004.65669,16465.44289,74573.61573,84463.15263,122954.9217,68388.36779,36953.08803,75395.80358,12856.35217,23612.06786,36381.71303,16524.64626,111133.6939,25813.21266,245531.0309,125718.2076,9352.077267,143862.4985,48536.20266,50575.85334,158276.9155,13090.41775,61392.04733,10664.05755,82305.47892,345402.8408,37682.21902,7715.79671,104152.1279,90122.47712,22634.63674,71456.43406,7239.941757,1
"(2,)",59981.7078,9150.775465,85256.31298,36535.05418,480451.1029,67612.80697,43864.16775,11756.79951,254913.2835,127275.5506,17630.70731,20732.41347,158399.6787,81867.17116,38636.58695,35882.94547,54743.99141,57829.66723,16415.76966,74348.64075,84208.34272,122583.9891,68182.05257,36841.60731,75168.3482,12817.5669,23540.83457,36271.95604,16474.79442,110798.4238,25735.33891,244790.3086,125338.9387,9323.863758,143428.4917,48389.77779,50423.27523,157799.4229,13050.92635,61206.83873,10631.88603,82057.17832,344360.8235,37568.53865,7692.51956,103837.9199,89850.59406,22566.35217,71240.86304,7218.100174,2
"(3,)",59834.21437,9128.27395,85046.66996,36535.05418,480451.1029,67612.80697,43864.16775,11727.88985,254286.4585,126962.5834,17587.35386,20681.43301,158010.1781,81665.86195,38541.58061,35794.71026,54609.37739,57687.4656,16375.40371,74165.81941,84001.27663,122282.5583,68014.3947,36751.01477,74983.51122,12786.04884,23482.94828,36182.76426,16434.28334,110525.9735,25672.05639,244188.3757,125030.7336,9300.936623,143075.8048,48270.78861,50299.28572,157411.3983,13018.83446,61056.33273,10605.74251,81855.40189,343514.0493,37476.1586,7673.603858,103582.5852,89629.65383,22510.86211,71065.68364,7200.351057,3
"(4,)",59935.53044,9143.730674,85190.67778,36535.05418,480451.1029,67612.80697,43864.16775,11747.74845,254717.0366,127177.5666,17617.13418,20716.45247,158277.7336,81804.14512,38606.84229,35855.32073,54701.84635,57785.14663,16403.13186,74291.4029,84143.51431,122489.617,68129.56211,36813.24453,75110.4793,12807.6992,23522.71148,36244.03181,16462.11118,110713.1249,25715.52637,244601.855,125242.4456,9316.685713,143318.0722,48352.52457,50384.4565,157677.9399,13040.87899,61159.7182,10623.701,81994.006,344095.7148,37539.61623,7686.597418,103757.9795,89781.42192,22548.9793,71186.01774,7212.543267,4
"(5,)",60616.05157,9247.550592,86157.95137,36535.05418,480451.1029,67612.80697,43864.16775,11881.13495,257609.1496,128621.5685,17817.16297,20951.6716,160074.8536,82732.96727,39045.19282,36262.42988,55322.94308,58441.25183,16589.3766,75134.92374,85098.89817,123880.3909,68903.12007,37231.23016,75963.30011,12953.12062,23789.79349,36655.55448,16649.02559,111970.1859,26007.50608,247379.118,126664.4757,9422.4694,144945.3369,48901.52971,50956.53264,159468.2497,13188.94799,61854.13902,10744.32482,82924.98388,348002.6528,37965.84925,7773.872726,104936.0703,90800.81983,22805.00534,71994.27936,7294.436061,5
"(6,)",60582.2695,9242.396819,86109.93449,36535.05418,480451.1029,67612.80697,43864.16775,11874.51345,257465.5809,128549.8862,17807.23325,20939.99498,159985.6419,82686.85918,39023.43246,36242.22039,55292.11093,58408.68181,16580.13114,75093.05013,85051.47152,123811.3508,68864.71951,37210.48074,75920.96483,12945.90169,23776.53515,36635.12589,16639.74688,111907.7836,25993.01178,247241.2506,126593.8841,9417.218143,144864.5571,48874.27629,50928.13394,159379.3761,13181.59763,61819.66695,10738.33688,82878.76877,347808.7067,37944.69042,7769.540252,104877.5882,90750.21542,22792.29583,71954.15607,7290.370782,6
"(7,)",60593.3846,9244.092532,86125.73318,36535.05418,480451.1029,67612.80697,43864.16775,11876.69208,257512.8184,128573.4713,17810.50036,20943.83687,160014.9946,82702.02983,39030.59214,36248.86979,55302.25543,58419.39811,16583.17312,75106.82754,85067.07601,123834.0666,68877.3542,37217.30779,75934.89414,12948.27689,23780.89746,36641.84738,16642.7998,111928.3154,25997.78075,247286.6122,126617.1104,9418.945931,144891.1356,48883.24331,50937.47778,159408.6176,13184.01607,61831.00907,10740.30706,82893.97463,347872.5195,37951.65217,7770.965738,104896.8302,90766.86547,22796.47756,71967.35758,7291.708355,7
"(8,)",62543.16558,9541.550017,88897.09704,36535.05418,480451.1029,67612.80697,43864.16775,12258.86166,265799.0958,132710.7235,18383.60872,21617.77008,165163.9758,85363.22537,40286.52307,37415.29013,57081.77784,60299.2243,17116.78839,77523.62377,87804.37427,127818.8136,71093.69772,38414.89065,78378.336,13364.92805,24546.12194,37820.913,17178.33375,115529.9578,26834.34036,255243.8296,130691.4105,9722.029868,149553.4594,50456.214,52576.54987,164538.0867,13608.25287,63820.61447,11085.9099,85561.34659,359066.4019,39172.86485,8021.020778,108272.2126,93687.57222,23530.02527,74283.13158,7526.341795,8
"(9,)",62841.63156,9587.083819,89321.3282,36535.05418,480451.1029,67612.80697,43864.16775,12317.36291,267067.5316,133344.0403,18471.33824,21720.93354,165952.1647,85770.59233,40478.7768,37593.84188,57354.18121,60586.98184,17198.47244,77893.5789,88223.39079,128428.7854,71432.96821,38598.21265,78752.36995,13428.70762,24663.25996,38001.40045,17260.3115,116081.2852,26962.39813,256461.894,131315.0908,9768.424949,150267.1524,50696.99912,52827.45357,165323.2887,13673.19363,64125.17665,11138.81364,85969.65902,360779.9242,39359.80402,8059.298371,108788.9049,94134.6643,23642.31431,74637.62256,7562.258701,9
